model,kernel_family,is_full,n_lipids,n_folds,n_runs,test_r2_mean,test_r2_median,test_corr_mean,test_corr_median,test_rmse_z_mean,test_rmse_z_median
learnls-manifold-nu2-K1300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3-prune0.9,manifold,False,5,8,8,0.3239965613477918,0.35784748183165555,0.5418741046735945,0.601192476621562,0.8015317842364311,0.7738988101482391
[full] LGPALL-RSAMPLE-5-reference-2000-1000-learnind-ard10_log,whole-brain Euclidean (Matern) latent GP,True,5,8,8,0.24574784765397437,0.3513282254690311,0.5586128688998345,0.6246447551079377,0.8479051314168593,0.805400942634573
[full] LGPALL-RSAMPLE-5-data-2000-1000-learnind-ard10,whole-brain Euclidean (Matern) latent GP,True,5,8,8,0.30756906759635283,0.3492402398180493,0.5626558395353191,0.6232090479394887,0.8178412083560296,0.8066942625455196
[full] LGPALL-RSAMPLE-5-data-2000-1000-learnind-ard10_log,whole-brain Euclidean (Matern) latent GP,True,5,8,8,0.24714895468161774,0.34818782258186287,0.5577794102413474,0.6225118282492905,0.8472343729128976,0.8073454373072204
learnls-manifold-nu2-K1300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3-prune0.95,manifold,False,5,8,8,0.3198510096454884,0.34808082295608656,0.5388514718254276,0.5976346543786535,0.8043526709079742,0.7737123370170593
learnls-manifold-nu2-K1300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.95,manifold,False,5,8,8,0.31951639338876076,0.3476792902956001,0.5385716954209956,0.5978182906651981,0.8045510992407798,0.7736014425754547
learnls-manifold-nu2-K1300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3,manifold,False,5,8,8,0.31629448251364556,0.3416268532546214,0.5356049224892752,0.5932068073432222,0.8064702197909355,0.7754180431365967
learnls-manifold-nu2-K1300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3,manifold,False,5,8,8,0.3161512194116257,0.34124685149334344,0.5355354313348426,0.59309874721832,0.8065559446811676,0.7754374444484711
[full] LGPALL-RSAMPLE-5-reference-2000-1000-learnind-ard10,whole-brain Euclidean (Matern) latent GP,True,5,8,8,0.3150048205590873,0.3392259396970768,0.5657999884211201,0.6219309863165503,0.8134416858874044,0.8128797276320074
learnls-manifold-nu2-K300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3-prune0.9,manifold,False,5,8,8,0.28987848617641604,0.3207509244610294,0.508212217976989,0.5667907496371628,0.8245532736182213,0.7989570796489716
learnls-manifold-nu2-K300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9,manifold,False,5,8,8,0.28917732357246695,0.31576474577828334,0.5083175169423501,0.5630289593341282,0.8249876707792282,0.7992483973503113
spectral-nu2-K1300-stride4-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-lr0.05-ep20-lbs10-rootdissolve-dn3,spectral,False,5,8,8,0.2940318283921072,0.30462470254501983,0.5273435497926364,0.5812631085432456,0.8197118997573852,0.7879396975040436
learnls-manifold-nu2-K300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.97,manifold,False,5,8,8,0.2799899020212047,0.29975971444050686,0.500167709340708,0.5479702961063464,0.8314348116517067,0.8003531396389008
learnls-manifold-nu2-K300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.95,manifold,False,5,8,8,0.2809542174747059,0.29920591601016533,0.5015495276212446,0.5500766394128757,0.8305543437600136,0.8008750379085541
learnls-manifold-nu2-K300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3-prune0.97,manifold,False,5,8,8,0.28007679146876036,0.2991062755265408,0.50005148811302,0.5474433081613155,0.8313717782497406,0.799893707036972
